Source,file_path,Missing Info
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/admin-portal-cms-beta-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-platform-info-mfe/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-platform-info-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/partner-warehouse-edit/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/partner-warehouse-edit/templates/deployment.yml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-social-poc-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/order-relay-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/category-retool/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/availability-inventories-dc-consumer-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/az-pipelines-agent/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/nestjs-api-template-new-6/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/rio-service/templates/deployment-api.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/cx-tlp-portal-admin-mfe/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/cx-tlp-portal-admin-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/argo-rollouts-config/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/credit-onboarding-service-api/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/secportal-filter/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/link-looping-api/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/admin-portal-shared-bff/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/order-transparency-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/flags-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/nestjs-api-template-new-4/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-currier-management-mfe/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-currier-management-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-force-coins-consumer/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-force-coins-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-experimentation-platform-service/templates/release-deployment-api.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-experimentation-platform-service/templates/canary-deployment-api.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-coupons-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-radar-vulnerability-checks/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/rewards-transaction-business/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/nri-bundle-crds/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/link-deals-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/oncustomer-b2c-users/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/rewards-transparency-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/scaleops/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/ci/with-image-renderer-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/ci/default-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/ci/with-dashboard-json-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/ci/with-affinity-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/ci/with-dashboard-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/grafana/ci/with-extraconfigmapmounts-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/data-platform-dtc-api/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/audience-management-custom-filter-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/link-last-mile-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/pocfeed-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/userclientcatalog-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/availability-accounts-consumer-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/platform-orders-order-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-link-campaigns-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/rewards-challenges-relay/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/sre-grafana/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-hub-link-po-reader-mfe/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/auth-service/templates/deployment.yaml,Missing deployment structure
